Date,Price,Open,High,Low,Vol.,Change %
"Mar 18, 2010",123.08,123.26,123.39,122.98,741.75K,-0.06%
"Mar 17, 2010",123.16,123.04,123.36,122.94,814.32K,0.24%
"Mar 16, 2010",122.86,122.71,123.24,122.45,834.83K,0.12%
"Mar 15, 2010",122.71,122.55,122.77,122.52,469.16K,0.12%
"Mar 12, 2010",122.56,122.4,122.68,122.07,824.60K,0.13%
"Mar 11, 2010",122.4,122.65,122.69,122.19,819.95K,-0.17%
"Mar 10, 2010",122.61,122.82,122.88,122.59,690.95K,-0.18%
"Mar 09, 2010",122.83,122.49,123.02,122.49,878.60K,-0.94%
"Mar 08, 2010",124,124.03,124.13,123.96,43.04K,-0.01%
"Mar 05, 2010",124.01,124.27,124.38,123.93,834.14K,-0.23%
"Mar 04, 2010",124.29,124.25,124.44,123.87,1.45M,0.17%
"Mar 03, 2010",124.08,124.3,124.34,123.97,1.16M,-0.10%
"Mar 02, 2010",124.2,124.32,124.4,123.94,972.21K,-0.10%
"Mar 01, 2010",124.33,124.3,124.45,124.06,632.74K,-0.10%
"Feb 26, 2010",124.45,124.29,124.5,124.09,989.45K,0.12%
"Feb 25, 2010",124.3,124.25,124.44,124.09,933.99K,0.23%
"Feb 24, 2010",124.01,123.7,124.16,123.64,1.12M,0.27%
"Feb 23, 2010",123.67,122.88,123.87,122.68,1.37M,0.69%
"Feb 22, 2010",122.82,122.7,122.9,122.54,597.89K,0.13%
"Feb 19, 2010",122.66,122.95,123.05,122.56,941.92K,-0.28%
"Feb 18, 2010",123,123.33,123.42,122.87,1.03M,-0.41%
"Feb 17, 2010",123.51,123.51,123.61,123.32,680.59K,0.11%
"Feb 16, 2010",123.38,123.48,123.7,123.21,691.28K,0.01%
"Feb 15, 2010",123.37,123.37,123.57,123.32,294.35K,-0.15%
"Feb 12, 2010",123.55,123.15,123.63,123.1,837.00K,0.32%
"Feb 11, 2010",123.15,123.16,123.37,122.92,1.22M,-0.26%
"Feb 10, 2010",123.47,123.34,123.71,122.98,1.32M,-0.41%
"Feb 09, 2010",123.98,123.94,124.06,123.22,1.25M,0.06%
"Feb 08, 2010",123.91,124.3,124.3,123.88,795.49K,-0.23%
"Feb 05, 2010",124.2,123.84,124.53,123.78,1.24M,0.40%
"Feb 04, 2010",123.7,123.02,123.95,123,1.21M,0.40%
"Feb 03, 2010",123.21,123.38,123.39,122.96,957.58K,-0.21%
"Feb 02, 2010",123.47,123.48,123.58,123.18,904.16K,-0.03%
"Feb 01, 2010",123.51,123.58,123.63,123.35,673.03K,0.11%
"Jan 29, 2010",123.38,123.47,123.7,122.95,923.10K,0.06%
"Jan 28, 2010",123.3,123,123.47,122.81,1.06M,-0.06%
"Jan 27, 2010",123.38,123.3,123.61,122.97,1.08M,0.08%
"Jan 26, 2010",123.28,123.44,123.51,123.16,733.36K,0.11%
"Jan 25, 2010",123.15,123.24,123.29,122.92,545.87K,0.00%
"Jan 22, 2010",123.15,123.39,123.49,123.03,822.52K,0.00%
"Jan 21, 2010",123.15,122.87,123.34,122.62,1.01M,0.09%
"Jan 20, 2010",123.04,122.63,123.12,122.58,834.31K,0.46%
"Jan 19, 2010",122.48,122.73,122.85,122.29,766.39K,-0.20%
"Jan 18, 2010",122.72,122.69,122.78,122.55,317.43K,0.12%
"Jan 15, 2010",122.57,122.39,122.66,122.24,704.44K,0.27%
"Jan 14, 2010",122.24,121.95,122.39,121.88,774.87K,0.03%
"Jan 13, 2010",122.2,122,122.25,121.86,779.86K,0.05%
"Jan 12, 2010",122.14,121.8,122.24,121.74,837.78K,0.35%
"Jan 11, 2010",121.71,121.32,121.79,121.18,587.05K,0.26%
