Date,Price,Open,High,Low,Vol.,Change %
"Aug 22, 2007",106.54,107.09,107.13,106.41,85.80K,-0.65%
"Aug 21, 2007",107.24,106.93,107.57,106.88,108.91K,0.44%
"Aug 20, 2007",106.77,106.6,106.9,106.41,72.74K,0.03%
"Aug 17, 2007",106.74,107.05,107.38,106.54,134.21K,0.05%
"Aug 16, 2007",106.69,106.68,107.34,106.47,122.32K,0.38%
"Aug 15, 2007",106.29,106.15,106.53,105.95,114.18K,0.30%
"Aug 14, 2007",105.97,105.76,106.17,105.49,93.15K,0.42%
"Aug 13, 2007",105.53,105.39,105.75,105.25,59.84K,-0.05%
"Aug 10, 2007",105.58,105.8,105.94,105.43,102.27K,0.24%
"Aug 09, 2007",105.33,105.24,105.61,105.1,111.97K,0.29%
"Aug 08, 2007",105.03,105.48,105.53,104.92,97.64K,-0.63%
"Aug 07, 2007",105.7,105.61,105.74,105.48,48.04K,-0.05%
"Aug 06, 2007",105.75,105.96,105.96,105.68,51.50K,-0.05%
"Aug 03, 2007",105.8,105.39,105.87,105.36,62.62K,0.37%
"Aug 02, 2007",105.41,105.48,105.73,105.28,84.28K,-0.22%
"Aug 01, 2007",105.64,105.94,106,105.46,109.05K,0.10%
"Jul 31, 2007",105.53,105.57,105.62,105.36,91.22K,-0.33%
"Jul 30, 2007",105.88,105.71,106.05,105.54,98.05K,0.24%
"Jul 27, 2007",105.63,105.76,105.8,105.46,107.71K,0.14%
"Jul 26, 2007",105.48,105,105.75,104.86,118.76K,0.49%
"Jul 25, 2007",104.97,104.85,105.04,104.74,82.37K,0.21%
"Jul 24, 2007",104.75,104.78,104.92,104.62,65.40K,0.03%
"Jul 23, 2007",104.72,104.86,105.07,104.61,72.50K,-0.07%
"Jul 20, 2007",104.79,104.16,104.92,104.08,108.97K,0.74%
"Jul 19, 2007",104.02,103.98,104.11,103.8,76.64K,0.03%
"Jul 18, 2007",103.99,103.78,104.2,103.67,95.83K,0.51%
"Jul 17, 2007",103.46,103.93,104.03,103.36,96.55K,-0.18%
"Jul 16, 2007",103.65,103.58,103.91,103.43,70.51K,0.23%
"Jul 13, 2007",103.41,103.43,103.75,103.3,108.04K,-0.25%
"Jul 12, 2007",103.67,103.6,104.07,103.46,88.29K,-0.15%
"Jul 11, 2007",103.83,104.25,104.38,103.76,132.06K,-0.01%
"Jul 10, 2007",103.84,103.15,103.88,103.13,127.61K,0.74%
"Jul 09, 2007",103.08,103.01,103.2,103,48.36K,-0.03%
"Jul 06, 2007",103.11,103.24,103.39,102.9,73.26K,-0.22%
"Jul 05, 2007",103.34,103.43,103.5,103.19,99.52K,-0.18%
"Jul 04, 2007",103.53,103.64,103.68,103.46,34.98K,-0.23%
"Jul 03, 2007",103.77,104.07,104.18,103.7,128.79K,-0.31%
"Jul 02, 2007",104.09,104.09,104.14,103.8,92.55K,0.35%
"Jun 29, 2007",103.73,103.92,104.27,103.56,129.31K,-0.26%
"Jun 28, 2007",104,103.86,104.08,103.74,86.33K,-0.18%
"Jun 27, 2007",104.19,104.01,104.23,104.01,1.22K,0.41%
"Jun 26, 2007",103.76,103.74,103.81,103.71,1.83K,0.13%
